CustomerID,Recency,Frequency,Monetary,TotalQuantity,AvgUnitPrice,Cluster
12347,2,7,4310.0,2458,2.644010989010989,3
12348,75,4,1797.24,2341,5.764838709677419,3
12349,19,1,1757.55,631,8.289041095890411,0
12350,310,1,334.4,197,3.841176470588235,2
12352,36,8,2506.04,536,15.93070588235294,0
12353,204,1,89.0,20,6.074999999999999,0
12354,232,1,1079.4,530,4.5037931034482765,2
12355,214,1,459.4,240,4.203846153846154,2
12356,23,3,2811.43,1591,3.201186440677966,3
12357,33,1,6207.67,2708,3.3486259541984733,3
12358,2,2,1168.06,248,8.27421052631579,0
12359,58,4,6372.58,1622,8.620403225806452,3
12360,52,3,2662.06,1165,3.54968992248062,3
12361,287,1,189.9,91,3.335,2
12362,3,10,5226.23,2229,3.94093984962406,3
12363,110,2,552.0,408,2.3117391304347827,1
12364,8,4,1313.1,1506,1.910235294117647,3
12365,291,2,641.38,174,17.150454545454547,0
12367,4,1,168.9,173,3.2,1
12370,51,4,3545.69,2353,2.800299401197605,3
12371,45,2,1887.96,591,3.8742857142857146,1
12372,72,3,1298.04,794,3.001346153846154,1
12373,311,1,364.6,197,4.582142857142857,2
12374,25,1,742.9300000000001,342,4.21969696969697,1
12375,11,2,457.5,178,6.912941176470589,0
12377,315,2,1628.12,944,2.718831168831169,2
12378,130,1,4008.62,2529,2.9974429223744297,3
12379,82,2,852.24,407,2.86625,1
12380,22,4,2724.81,1127,3.378653846153846,3
12381,5,5,1845.31,808,4.683218390804598,1
12383,185,5,1850.56,1532,3.086969696969697,3
12384,29,2,585.27,126,7.87925925925926,0
12386,338,2,401.9,354,2.391,2
12388,16,6,2780.66,1462,2.7777,3
12390,80,1,549.84,353,3.996875,1
12391,22,1,460.89,300,2.4599,1
12393,72,4,1582.6,816,2.2796875,1
12394,64,2,1272.48,819,3.3707407407407404,1
12395,19,12,3018.63,2118,3.9688461538461537,3
12397,36,2,2409.9,1263,3.4682539682539684,3
12398,46,1,1635.66,1394,1.992705882352941,1
12399,119,4,1108.65,1178,2.1145762711864404,1
12401,303,1,84.3,11,9.68,0
12402,323,1,225.6,94,3.290909090909091,2
12403,50,1,427.7,96,7.080000000000001,0
12405,149,1,1710.39,857,3.54425925925926,1
12406,22,2,3415.3,1818,2.487047619047619,3
12407,50,5,1708.12,1416,3.2674025974025973,3
12408,33,5,2888.55,1409,3.0228571428571427,3
12410,309,2,693.3299999999999,211,6.335384615384616,2
